Date,MA,V,ratio,z_score,signal,cumulative_profit,MA_buyhold,V_buyhold,buyhold_total
2025-04-09,511.54583740234375,329.2779235839844,1.55353821426741,-1.6824956755375822,Hold,0,9896.79248052416,10591.264805497598,488.05728602175805
2025-04-10,495.5770263671875,321.5320739746094,1.5412988826934946,-1.967915305041305,Hold,0,9587.846541723873,10342.118602607607,-70.03485566852032
2025-04-11,505.9085998535156,330.23870849609375,1.531948214542814,-2.1859716770794178,Buy MA and Sell V,0,9787.729780556787,10622.168570057695,409.89835061447957
2025-04-14,508.5981750488281,332.0018310546875,1.5319137651534567,-2.1867750323842094,Buy MA and Sell V,0,9839.764545816419,10678.879623441904,518.6441692583248
2025-04-15,513.4810791015625,332.6258544921875,1.54371968434469,-1.9114625235953986,Hold,0,9934.233280734916,10698.951413859742,633.18469459466
2025-04-16,509.5608520507813,328.1883239746094,1.5526477172606665,-1.7032619505750646,Hold,0,9858.389298121088,10556.217700397903,414.6069985189897
2025-04-17,513.4315185546875,326.484619140625,1.5726055331676738,-1.2378482645840996,Hold,0,9933.274441053736,10501.417825414686,434.69226646842435
2025-04-21,505.48187255859375,317.0648498535156,1.5942538972457119,-0.7330112138677162,Hold,0,9779.47395835117,10198.429790746088,-22.09625090274494
2025-04-22,523.356201171875,328.2576599121094,1.5943457383812554,-0.7308694904638096,Hold,0,10125.285629720913,10558.44789933322,683.7335290541305
2025-04-23,526.0159301757812,331.19952392578125,1.5882146324994615,-0.8738460867478096,Hold,0,10176.742965665155,10653.073316219437,829.8162818845922
2025-04-24,531.4248046875,332.5268249511719,1.5981411567789583,-0.6423608242558688,Hold,0,10281.38756382572,10695.766116524754,977.1536803504714
2025-04-25,529.4597778320312,331.991943359375,1.5947970678881838,-0.7203445447285263,Hold,0,10243.370515136618,10678.561584509227,921.9320996458446
2025-04-28,530.462158203125,334.30975341796875,1.586738504574582,-0.9082691990619731,Hold,0,10262.763401939572,10753.11422937596,1015.8776313155322
2025-04-29,535.6130981445312,338.2817077636719,1.5833344985910907,-0.9876501783882633,Hold,0,10362.417782744642,10880.872628155947,1243.2904109005904
2025-04-30,543.9298706054688,342.2239990234375,1.589397213981528,-0.8462684395183856,Hold,0,10523.321000277614,11007.676910137903,1530.9979104155173
2025-05-01,542.5106201171875,339.2029113769531,1.5993689969078726,-0.6137277512348381,Hold,0,10495.862996451939,10910.503255383692,1406.3662518356286
2025-05-02,555.174560546875,344.3040771484375,1.6124542153113288,-0.3085821502569714,Hold,525.5138522586452,10740.87015173402,11074.582878197372,1815.453029931392
2025-05-05,556.8914184570312,345.334228515625,1.6126157573512414,-0.30481501077695344,Hold,525.5138522586452,10774.085916994949,11107.717823294428,1881.8037402893751
2025-05-06,554.7775268554688,344.4031066894531,1.6108377540151209,-0.34627781864249524,Hold,525.5138522586452,10733.188806751175,11077.768175532361,1810.9569822835365
2025-05-07,562.0621948242188,346.53277587890625,1.621959693130522,-0.0869156367692514,Hold,525.5138522586452,10874.1240698399,11146.269246263437,2020.3933161033347
2025-05-08,562.8462524414062,347.93927001953125,1.617656588202336,-0.18726348721363822,Hold,525.5138522586452,10889.293102530073,11191.5093028351,2080.802405365175
2025-05-09,564.3549194335938,349.1972351074219,1.6161494499232902,-0.2224097569766766,Hold,525.5138522586452,10918.481032627828,11231.971904205102,2150.4529368329313
2025-05-12,573.9122314453125,352.47589111328125,1.6282311667689762,0.05933431744759742,Hold,525.5138522586452,11103.384763116414,11337.430276835223,2440.815039951638
2025-05-13,572.244873046875,353.3489990234375,1.6194891583912998,-0.14452818739641832,Hold,525.5138522586452,11071.126656699615,11365.51389987192,2436.640556571532
2025-05-14,568.9598999023438,353.6664123535156,1.6087473393815708,-0.39502601756281924,Hold,525.5138522586452,11007.572826058335,11375.72353857184,2383.2963646301723
2025-05-15,577.8126831054688,359.4606628417969,1.6074434363344268,-0.42543286800045016,Hold,525.5138522586452,11178.846154527406,11562.096316323878,2740.9424708512815
2025-05-16,578.884521484375,362.2585754394531,1.5979870753428944,-0.645953983418946,Hold,525.5138522586452,11199.582833888464,11652.091518255042,2851.6743521435055
2025-05-19,581.9908447265625,365.0168151855469,1.5944220115742407,-0.7290908094671014,Hold,525.5138522586452,11259.680354496728,11740.810638048923,3000.4909925456523
2025-05-20,576.7307739257812,363.9651184082031,1.5845770508121932,-0.9586740212799811,Hold,525.5138522586452,11157.914637053791,11706.982682191154,2864.897319244945
2025-05-21,565.248046875,355.49200439453125,1.590044332608049,-0.831177716833808,Hold,525.5138522586452,10935.760221118822,11434.44393052145,2370.2041516402714
2025-05-22,565.8435668945312,355.1646423339844,1.5931866504955519,-0.7578992700642587,Hold,525.5138522586452,10947.281648174563,11423.914289685566,2371.1959378601314
2025-05-23,559.3329467773438,350.76934814453125,1.594589007665732,-0.7251964822095878,Hold,525.5138522586452,10821.321760500505,11282.53911289911,2103.8608733996152
2025-05-27,570.22021484375,356.4842224121094,1.5995664856790033,-0.6091223386314738,Hold,525.5138522586452,11031.955930216782,11466.358744774934,2498.314674991714
2025-05-28,571.5800170898438,356.9108581542969,1.6014643545608882,-0.5648642817398134,Hold,525.5138522586452,11058.263798759863,11480.081535758964,2538.3453345188245
2025-05-29,573.426025390625,359.5599365234375,1.5947995511820514,-0.7202866346366741,Hold,525.5138522586452,11093.978215209676,11565.289466472022,2659.2676816816966
2025-05-30,581.18701171875,362.3280334472656,1.6040354542518107,-0.5049065694441341,Hold,525.5138522586452,11244.128730603717,11654.325643596934,2898.45437420065
2025-06-02,576.8399658203125,362.4570007324219,1.5914714425564522,-0.7978976973920228,Hold,525.5138522586452,11160.027154528705,11658.473892144752,2818.5010466734566
2025-06-03,577.5843505859375,362.9927978515625,1.5911730315435273,-0.8048566036226855,Hold,525.5138522586452,11174.428643139117,11675.707872209601,2850.1365153487204
2025-06-04,579.7280883789062,365.1159973144531,1.587791531028481,-0.8837127583352616,Hold,525.5138522586452,11215.903182698281,11744.000843392132,2959.904026090415
2025-06-05,581.0281982421875,363.8956604003906,1.5966890003658967,-0.6762249240144568,Hold,525.5138522586452,11241.056192610582,11704.748556849263,2945.804749459843
2025-06-06,585.6729736328125,367.318603515625,1.5944549718617753,-0.7283221798242441,Hold,525.5138522586452,11330.917891794943,11814.847942052522,3145.765833847465
2025-06-09,579.9265747070312,363.7865295410156,1.5941397704822016,-0.7356726352338137,Hold,525.5138522586452,11219.743264771178,11701.238349370087,2920.9816141412666
2025-06-10,585.0972900390625,367.7948913574219,1.59082495104715,-0.812973795784162,Hold,525.5138522586452,11319.780236779083,11830.167798911443,3149.948035690526
2025-06-11,586.288330078125,370.3843994140625,1.582918532761143,-0.9973504477496139,Hold,525.5138522586452,11342.82309089056,11913.459643215287,3256.2827341058473
