Date,MA,V
2025-05-05,556.8914184570312,345.334228515625
2025-05-06,554.7775268554688,344.4031066894531
2025-05-07,562.0621948242188,346.53277587890625
2025-05-08,562.8462524414062,347.93927001953125
2025-05-09,564.3549194335938,349.1972351074219
2025-05-12,573.9122314453125,352.47589111328125
2025-05-13,572.244873046875,353.3489990234375
2025-05-14,568.9598999023438,353.6664123535156
2025-05-15,577.8126831054688,359.4606628417969
2025-05-16,578.884521484375,362.2585754394531
2025-05-19,581.9908447265625,365.0168151855469
2025-05-20,576.7307739257812,363.9651184082031
2025-05-21,565.248046875,355.49200439453125
2025-05-22,565.8435668945312,355.1646423339844
2025-05-23,559.3329467773438,350.76934814453125
2025-05-27,570.22021484375,356.4842224121094
2025-05-28,571.5800170898438,356.9108581542969
2025-05-29,573.426025390625,359.5599365234375
2025-05-30,581.18701171875,362.3280334472656
2025-06-02,576.8399658203125,362.4570007324219
2025-06-03,577.5843505859375,362.9927978515625
2025-06-04,579.7280883789062,365.1159973144531
2025-06-05,581.0281982421875,363.8956604003906
2025-06-06,585.6729736328125,367.318603515625
2025-06-09,579.9265747070312,363.7865295410156
2025-06-10,585.0972900390625,367.7948913574219
2025-06-11,586.288330078125,370.3843994140625
2025-06-12,584.8392944335938,368.4893493652344
2025-06-13,557.794677734375,350.08477783203125
2025-06-16,564.3845825195312,352.69415283203125
2025-06-17,565.1588134765625,355.03564453125
2025-06-18,534.6702270507812,337.71246337890625
2025-06-20,528.9535522460938,335.91668701171875
2025-06-23,538.262939453125,341.0560607910156
2025-06-24,553.3285522460938,348.87432861328125
2025-06-25,545.5575561523438,342.5542297363281
2025-06-26,541.6968383789062,343.31817626953125
2025-06-27,546.1728515625,345.8779602050781
2025-06-30,557.7052612304688,352.2674865722656
2025-07-01,560.3551635742188,352.6842041015625
2025-07-02,557.2885131835938,351.4440002441406
2025-07-03,564.9502563476562,356.0476379394531
2025-07-07,560.861328125,353.8450622558594
2025-07-08,558.2015380859375,351.7714538574219
2025-07-09,561.6102905273438,354.9562683105469
2025-07-10,560.0301513671875,353.0910339355469
2025-07-11,546.772705078125,345.2032775878906
2025-07-14,549.59521484375,347.753173828125
2025-07-15,546.9515991210938,344.3003845214844
2025-07-16,552.0796508789062,347.1578674316406
2025-07-17,552.169189453125,347.0685729980469
2025-07-18,549.2373046875,346.31451416015625
2025-07-21,551.215087890625,348.189697265625
2025-07-22,555.299560546875,349.10247802734375
2025-07-23,558.6090087890625,352.5056457519531
2025-07-24,560.0103149414062,351.19598388671875
2025-07-25,564.700927734375,354.241943359375
2025-07-28,564.7607421875,352.6842041015625
2025-07-29,559.8314208984375,348.5369873046875
2025-07-30,555.6474609375,348.1599426269531
2025-07-31,562.9617919921875,342.7626037597656
2025-08-01,556.4226684570312,336.6905517578125
2025-08-04,566.2811889648438,339.4685974121094
2025-08-05,562.5345458984375,334.78558349609375
2025-08-06,565.6054077148438,337.0774841308594
2025-08-07,557.744384765625,329.4874267578125
2025-08-08,570.7632446289062,334.1406555175781
2025-08-11,570.0377807617188,333.2675476074219
2025-08-12,570.6240844726562,334.6888732910156
2025-08-13,574.321044921875,340.4634704589844
2025-08-14,580.144775390625,343.38555908203125
2025-08-15,578.0975952148438,342.3717956542969
2025-08-18,580.5224609375,340.6523132324219
2025-08-19,581.8839721679688,340.3641052246094
2025-08-20,589.0095825195312,341.8350830078125
2025-08-21,588.2542724609375,341.5965576171875
2025-08-22,595.250732421875,347.9078674316406
2025-08-25,589.5362548828125,346.6953125
2025-08-26,587.9461669921875,349.0409240722656
2025-08-27,587.0020751953125,348.2159729003906
2025-08-28,586.8231811523438,347.7289733886719
2025-08-29,591.6033935546875,349.63726806640625
2025-09-02,588.20458984375,347.93768310546875
2025-09-03,589.6058349609375,348.7328186035156
2025-09-04,591.9512329101562,348.8520812988281
2025-09-05,580.6019287109375,341.1294250488281
2025-09-08,582.9671020507812,340.2149963378906
2025-09-09,580.3832397460938,341.89471435546875
2025-09-10,575.7919921875,336.06048583984375
2025-09-11,585.0840454101562,341.39776611328125
